,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_neighbors,param_p,param_weights,params,split0_test_Macro F1,split1_test_Macro F1,split2_test_Macro F1,split3_test_Macro F1,split4_test_Macro F1,mean_test_Macro F1,std_test_Macro F1,rank_test_Macro F1,split0_test_Deceased macro F1,split1_test_Deceased macro F1,split2_test_Deceased macro F1,split3_test_Deceased macro F1,split4_test_Deceased macro F1,mean_test_Deceased macro F1,std_test_Deceased macro F1,rank_test_Deceased macro F1,split0_test_Accuracy,split1_test_Accuracy,split2_test_Accuracy,split3_test_Accuracy,split4_test_Accuracy,mean_test_Accuracy,std_test_Accuracy,rank_test_Accuracy
20,0.002530622482299805,0.00020345973823449628,0.01905341148376465,0.00029134221236048823,30,1,uniform,"{'n_neighbors': 30, 'p': 1, 'weights': 'uniform'}",0.7613219323184515,0.7670555440931578,0.7857452957252887,0.8120172999691073,0.7789677693633017,0.7810215682938614,0.01772226036664474,2,0.6513157894736842,0.6772151898734177,0.6894197952218429,0.7243589743589745,0.6956521739130435,0.6875923845681926,0.023848518948598244,2,0.7640918580375783,0.7703549060542797,0.7907949790794979,0.8138075313807531,0.7803347280334728,0.7838768005171164,0.01749595210849962,2
21,0.0026618003845214843,0.00015256878614037866,0.007849740982055663,0.0001565545350009602,30,1,distance,"{'n_neighbors': 30, 'p': 1, 'weights': 'distance'}",0.747016943595586,0.7508783585518849,0.749508171104836,0.7955759925966727,0.7432332863367347,0.757242550437143,0.019342176018842836,26,0.6319218241042346,0.6666666666666666,0.6517571884984025,0.7098765432098766,0.6609195402298851,0.6642283525418131,0.02569004724884963,32,0.7494780793319415,0.7515657620041754,0.7510460251046025,0.7949790794979079,0.7405857740585774,0.757530943999441,0.01914151423110837,28
22,0.002648162841796875,0.00024789105095888357,0.01917438507080078,0.0006661378134022123,30,2,uniform,"{'n_neighbors': 30, 'p': 2, 'weights': 'uniform'}",0.7438197939132518,0.7600514234094523,0.7769344640488446,0.7992557862433913,0.7681507644298863,0.7696424464089653,0.018391006696903724,15,0.641025641025641,0.6773162939297125,0.6910299003322258,0.7096774193548386,0.6853582554517134,0.6808815020188262,0.022598391664344283,7,0.7453027139874739,0.7640918580375783,0.7803347280334728,0.801255230125523,0.7698744769874477,0.7721718014342992,0.018466132460450157,14
23,0.0027313232421875,0.00013651407303332636,0.009002017974853515,0.0012939653779528726,30,2,distance,"{'n_neighbors': 30, 'p': 2, 'weights': 'distance'}",0.7414583083622998,0.7527330350656748,0.7541802093859804,0.7936832506452759,0.7371503312753518,0.7558410269469166,0.02000328233821929,32,0.627831715210356,0.6687306501547988,0.6645569620253164,0.7076923076923075,0.6571428571428571,0.6651908984451271,0.025611642064963528,26,0.7432150313152401,0.7536534446764092,0.7552301255230126,0.7928870292887029,0.7343096234309623,0.7558590508468654,0.020002902214432385,36
24,0.0025317192077636717,0.00017033991539774633,0.019352245330810546,0.00048809873254260466,35,1,uniform,"{'n_neighbors': 35, 'p': 1, 'weights': 'uniform'}",0.7600899735655965,0.7616001431840238,0.7890685474343487,0.808754011622864,0.7755937423197504,0.7790212836253166,0.01821329897892358,3,0.6442953020134228,0.6709677419354839,0.6898954703832754,0.7147540983606556,0.6815286624203822,0.680288255022644,0.023082877572045496,8,0.7640918580375783,0.7661795407098121,0.7949790794979079,0.8117154811715481,0.7782426778242678,0.7830417274482229,0.01806181771649095,3
25,0.003557920455932617,0.000953421487673098,0.009445905685424805,0.0011528796203290543,35,1,distance,"{'n_neighbors': 35, 'p': 1, 'weights': 'distance'}",0.7433576435949684,0.7553277125076749,0.7540209074013783,0.7977282326399245,0.7413722007508573,0.7583613393789607,0.020452560941211402,22,0.627831715210356,0.674846625766871,0.6603174603174603,0.7138461538461538,0.6590257879656161,0.6671735486212914,0.02792267894749272,19,0.7453027139874739,0.755741127348643,0.7552301255230126,0.797071129707113,0.7384937238493724,0.758367764083123,0.020397879870749418,23
26,0.002582073211669922,0.00024994728606674916,0.019233274459838866,0.0002837666862639111,35,2,uniform,"{'n_neighbors': 35, 'p': 2, 'weights': 'uniform'}",0.735455344557172,0.754075039344297,0.7653096621587356,0.791369878307469,0.7458167356357402,0.7584053320006828,0.019174238992618952,21,0.6204620462046204,0.6710526315789473,0.6779661016949152,0.7,0.6474358974358975,0.663383335382876,0.02723531952055539,35,0.7390396659707724,0.7599164926931107,0.7698744769874477,0.7949790794979079,0.7489539748953975,0.7625527380089273,0.019234428446325592,16
27,0.002514171600341797,8.254372123857372e-05,0.008270788192749023,0.0001820170818114733,35,2,distance,"{'n_neighbors': 35, 'p': 2, 'weights': 'distance'}",0.741523961237223,0.7549623141724835,0.7541802093859804,0.7936832506452759,0.7371503312753518,0.7563000133432629,0.019944079212688228,31,0.6258064516129032,0.6728395061728395,0.6645569620253164,0.7076923076923075,0.6571428571428571,0.6656076169292447,0.026382987750296166,25,0.7432150313152401,0.755741127348643,0.7552301255230126,0.7928870292887029,0.7343096234309623,0.7562765873813122,0.019974273496600616,34
28,0.0025619029998779296,0.00020213669884142682,0.019789838790893556,0.0005633546508856515,40,1,uniform,"{'n_neighbors': 40, 'p': 1, 'weights': 'uniform'}",0.7569337450201957,0.7659659278387269,0.7818258069273155,0.8082879472168738,0.7719086314107061,0.7769844116827637,0.01762129512864584,6,0.6423841059602649,0.6775244299674267,0.6847457627118644,0.7197452229299363,0.6813880126182965,0.6811575068375577,0.024570374069175244,6,0.7599164926931107,0.7703549060542797,0.7866108786610879,0.8096234309623431,0.7740585774058577,0.7801128571553357,0.0170461919523078,6
29,0.0026431560516357424,0.00017504778456260483,0.008500480651855468,0.0002137241698940791,40,1,distance,"{'n_neighbors': 40, 'p': 1, 'weights': 'distance'}",0.747016943595586,0.7486443381180224,0.7518034032730463,0.7955759925966727,0.7393314526903009,0.7564744260547257,0.019976920419304343,29,0.6319218241042346,0.6666666666666666,0.6560509554140127,0.7098765432098766,0.6609686609686609,0.6650969300726903,0.02532641998005056,29,0.7494780793319415,0.7494780793319415,0.7531380753138075,0.7949790794979079,0.7364016736401674,0.7566949974231532,0.019971526926252387,31
